face_x,face_y,face_width,face_height,face_cam_x,face_cam_y,face_cam_z,torso_x,torso_y,torso_width,torso_height,torso_cam_x,torso_cam_y,torso_cam_z,person_x,person_y,person_width,person_height,person_cam_x,person_cam_y,person_cam_z,mean_cam_z
570.0,156.0,59.0,46.0,3.222619186452738,-0.6998504136053704,6.235,-1.0,-1.0,-1.0,-1.0,,,,494.0,136.0,342.0,144.0,3.8901770212521027,-0.3711942638495913,6.1240000000000006,6.179500000000001
-1.0,-1.0,-1.0,-1.0,,,,-1.0,-1.0,-1.0,-1.0,,,,359.0,130.0,348.0,190.0,2.6268092399250587,-0.20003927541719269,6.5920000000000005,6.5920000000000005
294.0,116.0,83.0,54.0,0.03520754653164152,-0.14318878313648606,0.812,-1.0,-1.0,-1.0,-1.0,,,,-1.0,-1.0,-1.0,-1.0,,,,0.812
264.0,68.0,111.0,76.0,0.07744493936464897,-1.2793886340548335,5.282,166.0,143.0,333.0,238.0,0.3416153492819288,0.31959302343923945,8.995000000000003,-1.0,-1.0,-1.0,-1.0,,,,7.1385000000000005
519.0,11.0,156.0,116.0,2.151637933592444,-1.2915239419486584,4.192,308.0,107.0,371.0,317.0,2.1133666973588845,0.26435595059424616,6.468,-1.0,-1.0,-1.0,-1.0,,,,5.33
-1.0,-1.0,-1.0,-1.0,,,,-1.0,-1.0,-1.0,-1.0,,,,271.0,184.0,294.0,148.0,0.3640736392223353,0.053805438712094734,1.894,1.894
460.0,147.0,76.0,55.0,2.671913708046564,-0.9642137136927584,7.959,-1.0,-1.0,-1.0,-1.0,,,,-1.0,-1.0,-1.0,-1.0,,,,7.959
471.0,66.0,116.0,98.0,2.354904552627711,-1.3612285833490967,6.018,-1.0,-1.0,-1.0,-1.0,,,,-1.0,-1.0,-1.0,-1.0,,,,6.018
-1.0,-1.0,-1.0,-1.0,,,,287.0,164.0,298.0,223.0,0.2878203512291366,0.075222170261418,1.2819999999999998,-1.0,-1.0,-1.0,-1.0,,,,1.2819999999999998
-1.0,-1.0,-1.0,-1.0,,,,282.0,167.0,290.0,207.0,0.25837482247117155,0.06171913933010161,1.24,-1.0,-1.0,-1.0,-1.0,,,,1.24
-1.0,-1.0,-1.0,-1.0,,,,275.0,169.0,283.0,222.0,0.2169332462441588,0.07771444722912496,1.15,-1.0,-1.0,-1.0,-1.0,,,,1.15
-1.0,-1.0,-1.0,-1.0,,,,279.0,162.0,300.0,238.0,0.22149184347795065,0.07247932764548047,1.045,-1.0,-1.0,-1.0,-1.0,,,,1.045
275.0,82.0,101.0,75.0,0.025855621202352387,-0.22279534908139292,1.017,195.0,138.0,333.0,257.0,0.09233145444693876,0.043760733630230635,1.026,-1.0,-1.0,-1.0,-1.0,,,,1.0215
306.0,64.0,111.0,82.0,0.092061479433936,-0.2496090667947141,1.023,214.0,133.0,340.0,280.0,0.13465594100422146,0.05654776805732496,1.026,-1.0,-1.0,-1.0,-1.0,,,,1.0245000000000002
294.0,56.0,119.0,82.0,0.0771560348765894,-0.2634053684799046,1.02,199.0,132.0,336.0,285.0,0.1033726248531864,0.05837448726119559,1.026,-1.0,-1.0,-1.0,-1.0,,,,1.023
293.0,56.0,121.0,80.0,0.07738296439093233,-0.2660014680715531,1.023,199.0,132.0,339.0,285.0,0.10562300635333448,0.05860206810821779,1.03,-1.0,-1.0,-1.0,-1.0,,,,1.0265
290.0,56.0,120.0,81.0,0.0712461588927695,-0.2636612792028884,1.014,197.0,132.0,337.0,284.0,0.09852624366843987,0.05769174472012896,1.014,-1.0,-1.0,-1.0,-1.0,,,,1.014
290.0,52.0,120.0,81.0,0.07047327156750277,-0.2679441257960886,1.003,198.0,125.0,353.0,287.0,0.11262813487834225,0.04593536745199224,0.9940000000000001,-1.0,-1.0,-1.0,-1.0,,,,0.9985
277.0,37.0,124.0,88.0,0.04684436653165347,-0.2657963058407096,0.927,181.0,118.0,357.0,289.0,0.09029275068766217,0.03712892823724349,1.045,-1.0,-1.0,-1.0,-1.0,,,,0.986
282.0,20.0,129.0,84.0,0.060943234371008535,-0.30965665156409056,0.966,-1.0,-1.0,-1.0,-1.0,,,,-1.0,-1.0,-1.0,-1.0,,,,0.966
286.0,157.0,120.0,84.0,0.04876720514367454,-0.05924031890009255,0.773,196.0,249.0,225.0,279.0,-0.004170255018052752,0.2138680820287653,0.8230000000000001,-1.0,-1.0,-1.0,-1.0,,,,0.7979999999999999
278.0,25.0,130.0,90.0,0.2510278294762688,-1.3324577016847825,4.3500000000000005,179.0,120.0,357.0,308.0,0.6300749406742904,0.4328587710362339,7.608,156.0,4.0,471.0,356.0,0.8653796397521143,-0.6433493013648308,6.018,6.018
501.0,16.0,165.0,127.0,2.1508441230609328,-1.27901008529892,4.406000000000001,-1.0,-1.0,-1.0,-1.0,,,,-1.0,-1.0,-1.0,-1.0,,,,4.406000000000001
421.0,91.0,101.0,83.0,1.4723281417747691,-1.0041185705684363,5.125,-1.0,-1.0,-1.0,-1.0,,,,-1.0,-1.0,-1.0,-1.0,,,,5.125
304.0,71.0,106.0,80.0,0.07677174947490369,-0.2162826011042165,0.927,220.0,135.0,342.0,268.0,0.13301365350128047,0.04439359103187554,0.925,-1.0,-1.0,-1.0,-1.0,,,,0.9259999999999999
